Item,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0080-001,Plan Delivery Qty,6/16/2025 0:00,Sat,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Sun,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Mon,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Tue,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Wed,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Thu,
766-0080-001,Plan Delivery Qty,6/23/2025 0:00,Fri,
766-0101-001,Plan Build Qty,5/19/2025 0:00,Sat,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Sun,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Mon,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Tue,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Wed,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Thu,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Fri,
766-0101-001,Plan Build Qty,5/26/2025 0:00,Sat,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Sun,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Mon,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Tue,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Wed,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Thu,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Fri,
766-0101-001,Plan Build Qty,6/2/2025 0:00,Sat,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Sun,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Mon,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Tue,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Wed,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Thu,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Fri,
766-0101-001,Plan Build Qty,6/9/2025 0:00,Sat,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Sun,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Mon,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Tue,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Wed,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Thu,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Fri,
766-0101-001,Plan Build Qty,6/16/2025 0:00,Sat,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Sun,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Mon,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Tue,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Wed,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Thu,
766-0101-001,Plan Build Qty,6/23/2025 0:00,Fri,
766-0101-001,Plan Delivery Qty,5/19/2025 0:00,Sat,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Sun,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Mon,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Tue,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Wed,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Thu,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Fri,
766-0101-001,Plan Delivery Qty,5/26/2025 0:00,Sat,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Sun,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Mon,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Tue,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Wed,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Thu,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Fri,
766-0101-001,Plan Delivery Qty,6/2/2025 0:00,Sat,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Sun,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Mon,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Tue,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Wed,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Thu,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Fri,
766-0101-001,Plan Delivery Qty,6/9/2025 0:00,Sat,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Sun,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Mon,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Tue,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Wed,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Thu,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Fri,
766-0101-001,Plan Delivery Qty,6/16/2025 0:00,Sat,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Sun,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Mon,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Tue,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Wed,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Thu,
766-0101-001,Plan Delivery Qty,6/23/2025 0:00,Fri,
766-0101-001+TL,Plan Build Qty,5/19/2025 0:00,Sat,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Sun,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Mon,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Tue,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Wed,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Thu,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Fri,
766-0101-001+TL,Plan Build Qty,5/26/2025 0:00,Sat,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Sun,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Mon,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Tue,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Wed,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Thu,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Fri,
766-0101-001+TL,Plan Build Qty,6/2/2025 0:00,Sat,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Sun,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Mon,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Tue,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Wed,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Thu,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Fri,
766-0101-001+TL,Plan Build Qty,6/9/2025 0:00,Sat,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Sun,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Mon,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Tue,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Wed,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Thu,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Fri,
766-0101-001+TL,Plan Build Qty,6/16/2025 0:00,Sat,
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Sun,
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Mon,
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Tue,
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Wed,10
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Thu,
766-0101-001+TL,Plan Build Qty,6/23/2025 0:00,Fri,
766-0101-001+TL,Plan Delivery Qty,5/19/2025 0:00,Sat,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Sun,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Mon,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Tue,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Wed,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Thu,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Fri,
766-0101-001+TL,Plan Delivery Qty,5/26/2025 0:00,Sat,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Sun,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Mon,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Tue,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Wed,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Thu,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Fri,
766-0101-001+TL,Plan Delivery Qty,6/2/2025 0:00,Sat,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Sun,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Mon,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Tue,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Wed,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Thu,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Fri,
766-0101-001+TL,Plan Delivery Qty,6/9/2025 0:00,Sat,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Sun,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Mon,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Tue,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Wed,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Thu,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Fri,
766-0101-001+TL,Plan Delivery Qty,6/16/2025 0:00,Sat,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Sun,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Mon,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Tue,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Wed,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Thu,
766-0101-001+TL,Plan Delivery Qty,6/23/2025 0:00,Fri,
822-0453-005,Plan Build Qty,5/19/2025 0:00,Sat,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Sun,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Mon,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Tue,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Wed,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Thu,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Fri,
822-0453-005,Plan Build Qty,5/26/2025 0:00,Sat,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Sun,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Mon,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Tue,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Wed,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Thu,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Fri,
822-0453-005,Plan Build Qty,6/2/2025 0:00,Sat,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Sun,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Mon,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Tue,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Wed,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Thu,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Fri,
822-0453-005,Plan Build Qty,6/9/2025 0:00,Sat,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Sun,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Mon,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Tue,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Wed,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Thu,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Fri,
822-0453-005,Plan Build Qty,6/16/2025 0:00,Sat,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Sun,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Mon,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Tue,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Wed,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Thu,
822-0453-005,Plan Build Qty,6/23/2025 0:00,Fri,
822-0453-005,Plan Delivery Qty,5/19/2025 0:00,Sat,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Sun,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Mon,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Tue,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Wed,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Thu,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Fri,
822-0453-005,Plan Delivery Qty,5/26/2025 0:00,Sat,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Sun,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Mon,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Tue,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Wed,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Thu,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Fri,
822-0453-005,Plan Delivery Qty,6/2/2025 0:00,Sat,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Sun,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Mon,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Tue,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Wed,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Thu,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Fri,
822-0453-005,Plan Delivery Qty,6/9/2025 0:00,Sat,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Sun,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Mon,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Tue,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Wed,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Thu,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Fri,
822-0453-005,Plan Delivery Qty,6/16/2025 0:00,Sat,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Sun,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Mon,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Tue,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Wed,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Thu,
822-0453-005,Plan Delivery Qty,6/23/2025 0:00,Fri,
822-0453-015,Plan Build Qty,5/19/2025 0:00,Sat,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Sun,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Mon,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Tue,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Wed,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Thu,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Fri,
822-0453-015,Plan Build Qty,5/26/2025 0:00,Sat,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Sun,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Mon,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Tue,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Wed,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Thu,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Fri,
822-0453-015,Plan Build Qty,6/2/2025 0:00,Sat,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Sun,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Mon,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Tue,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Wed,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Thu,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Fri,
822-0453-015,Plan Build Qty,6/9/2025 0:00,Sat,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Sun,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Mon,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Tue,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Wed,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Thu,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Fri,
822-0453-015,Plan Build Qty,6/16/2025 0:00,Sat,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Sun,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Mon,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Tue,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Wed,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Thu,
822-0453-015,Plan Build Qty,6/23/2025 0:00,Fri,
822-0453-015,Plan Delivery Qty,5/19/2025 0:00,Sat,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Sun,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Mon,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Tue,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Wed,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Thu,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Fri,
822-0453-015,Plan Delivery Qty,5/26/2025 0:00,Sat,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Sun,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Mon,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Tue,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Wed,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Thu,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Fri,
822-0453-015,Plan Delivery Qty,6/2/2025 0:00,Sat,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Sun,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Mon,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Tue,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Wed,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Thu,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Fri,
822-0453-015,Plan Delivery Qty,6/9/2025 0:00,Sat,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Sun,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Mon,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Tue,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Wed,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Thu,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Fri,
822-0453-015,Plan Delivery Qty,6/16/2025 0:00,Sat,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Sun,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Mon,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Tue,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Wed,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Thu,
822-0453-015,Plan Delivery Qty,6/23/2025 0:00,Fri,
822-1159-001,Plan Build Qty,5/19/2025 0:00,Sat,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Sun,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Mon,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Tue,1
822-1159-001,Plan Build Qty,5/26/2025 0:00,Wed,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Thu,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Fri,
822-1159-001,Plan Build Qty,5/26/2025 0:00,Sat,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Sun,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Mon,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Tue,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Wed,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Thu,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Fri,
822-1159-001,Plan Build Qty,6/2/2025 0:00,Sat,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Sun,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Mon,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Tue,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Wed,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Thu,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Fri,
822-1159-001,Plan Build Qty,6/9/2025 0:00,Sat,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Sun,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Mon,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Tue,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Wed,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Thu,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Fri,
822-1159-001,Plan Build Qty,6/16/2025 0:00,Sat,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Sun,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Mon,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Tue,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Wed,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Thu,
822-1159-001,Plan Build Qty,6/23/2025 0:00,Fri,
822-1159-001,Plan Delivery Qty,5/19/2025 0:00,Sat,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Sun,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Mon,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Tue,1
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Wed,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Thu,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Fri,
822-1159-001,Plan Delivery Qty,5/26/2025 0:00,Sat,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Sun,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Mon,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Tue,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Wed,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Thu,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Fri,
822-1159-001,Plan Delivery Qty,6/2/2025 0:00,Sat,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Sun,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Mon,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Tue,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Wed,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Thu,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Fri,
822-1159-001,Plan Delivery Qty,6/9/2025 0:00,Sat,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Sun,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Mon,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Tue,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Wed,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Thu,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Fri,
822-1159-001,Plan Delivery Qty,6/16/2025 0:00,Sat,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Sun,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Mon,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Tue,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Wed,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Thu,
822-1159-001,Plan Delivery Qty,6/23/2025 0:00,Fri,
822-1159-005,Plan Build Qty,5/19/2025 0:00,Sat,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Sun,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Mon,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Tue,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Wed,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Thu,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Fri,
822-1159-005,Plan Build Qty,5/26/2025 0:00,Sat,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Sun,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Mon,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Tue,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Wed,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Thu,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Fri,
822-1159-005,Plan Build Qty,6/2/2025 0:00,Sat,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Sun,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Mon,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Tue,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Wed,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Thu,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Fri,
822-1159-005,Plan Build Qty,6/9/2025 0:00,Sat,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Sun,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Mon,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Tue,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Wed,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Thu,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Fri,
822-1159-005,Plan Build Qty,6/16/2025 0:00,Sat,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Sun,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Mon,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Tue,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Wed,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Thu,
822-1159-005,Plan Build Qty,6/23/2025 0:00,Fri,
822-1159-005,Plan Delivery Qty,5/19/2025 0:00,Sat,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Sun,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Mon,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Tue,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Wed,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Thu,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Fri,
822-1159-005,Plan Delivery Qty,5/26/2025 0:00,Sat,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Sun,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Mon,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Tue,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Wed,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Thu,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Fri,
822-1159-005,Plan Delivery Qty,6/2/2025 0:00,Sat,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Sun,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Mon,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Tue,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Wed,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Thu,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Fri,
822-1159-005,Plan Delivery Qty,6/9/2025 0:00,Sat,
822-1159-005,Plan Delivery Qty,6/16/2025 0:00,Sun,
822-1159-005,Plan Delivery Qty,6/16/2025 0:00,Mon,
822-1159-005,Plan Delivery Qty,6/16/2025 0:00,Tue,
