Item,RowDesc,Monday of Week,Weekday,mMatrixValue
766-0000-001+TL,Plan Delivery Qty,2025-10-20 00:00:00,Mon,
766-0000-001+TL,Plan Delivery Qty,2025-10-20 00:00:00,Tue,
766-0000-001+TL,Plan Delivery Qty,2025-10-20 00:00:00,Wed,
766-0000-001+TL,Plan Delivery Qty,2025-10-20 00:00:00,Thu,
766-0000-001+TL,Plan Delivery Qty,2025-10-20 00:00:00,Fri,52
766-0080-001,Plan Build Qty,2025-09-22 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Mon,7
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-09-29 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-10-06 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Fri,
766-0080-001,Plan Build Qty,2025-10-13 00:00:00,Sat,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Sun,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Mon,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Tue,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Wed,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Thu,
766-0080-001,Plan Build Qty,2025-10-20 00:00:00,Fri,
766-0080-001,Plan Delivery Qty,2025-09-22 00:00:00,Sat,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Sun,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Mon,7
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Tue,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Wed,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Thu,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Fri,
766-0080-001,Plan Delivery Qty,2025-09-29 00:00:00,Sat,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Sun,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Mon,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Tue,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Wed,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Thu,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Fri,
766-0080-001,Plan Delivery Qty,2025-10-06 00:00:00,Sat,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Sun,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Mon,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Tue,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Wed,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Thu,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Fri,
766-0080-001,Plan Delivery Qty,2025-10-13 00:00:00,Sat,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Sun,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Mon,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Tue,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Wed,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Thu,
766-0080-001,Plan Delivery Qty,2025-10-20 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-09-22 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Mon,10
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-09-29 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-10-06 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Fri,
766-0101-001,Plan Build Qty,2025-10-13 00:00:00,Sat,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Sun,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Mon,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Tue,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Wed,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Thu,
766-0101-001,Plan Build Qty,2025-10-20 00:00:00,Fri,
766-0101-001,Plan Delivery Qty,2025-09-22 00:00:00,Sat,
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Sun,
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Mon,2
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Tue,8
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Wed,
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Thu,
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Fri,
766-0101-001,Plan Delivery Qty,2025-09-29 00:00:00,Sat,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Sun,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Mon,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Tue,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Wed,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Thu,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Fri,
766-0101-001,Plan Delivery Qty,2025-10-06 00:00:00,Sat,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Sun,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Mon,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Tue,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Wed,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Thu,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Fri,
766-0101-001,Plan Delivery Qty,2025-10-13 00:00:00,Sat,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Sun,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Mon,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Tue,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Wed,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Thu,
766-0101-001,Plan Delivery Qty,2025-10-20 00:00:00,Fri,
766-0101-001+TL,Plan Build Qty,2025-09-22 00:00:00,Sat,
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Sun,
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Mon,10
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Tue,2
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Wed,
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Thu,
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Fri,
766-0101-001+TL,Plan Build Qty,2025-09-29 00:00:00,Sat,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Sun,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Mon,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Tue,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Wed,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Thu,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Fri,
766-0101-001+TL,Plan Build Qty,2025-10-06 00:00:00,Sat,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Sun,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Mon,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Tue,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Wed,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Thu,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Fri,
766-0101-001+TL,Plan Build Qty,2025-10-13 00:00:00,Sat,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Sun,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Mon,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Tue,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Wed,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Thu,
766-0101-001+TL,Plan Build Qty,2025-10-20 00:00:00,Fri,
766-0101-001+TL,Plan Delivery Qty,2025-09-22 00:00:00,Sat,
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Sun,
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Mon,1
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Tue,4
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Wed,
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Thu,
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Fri,
766-0101-001+TL,Plan Delivery Qty,2025-09-29 00:00:00,Sat,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Sun,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Mon,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Tue,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Wed,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Thu,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Fri,
766-0101-001+TL,Plan Delivery Qty,2025-10-06 00:00:00,Sat,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Sun,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Mon,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Tue,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Wed,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Thu,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Fri,
766-0101-001+TL,Plan Delivery Qty,2025-10-13 00:00:00,Sat,
